59
1: 0(0)->119(1)->24(513)->108(536)->0(588)
2: 0(0)->149(10)->81(27)->154(43)->105(411)->197(537)->0(572)
3: 0(0)->132(11)->9(40)->107(418)->75(521)->0(625)
4: 0(0)->140(12)->45(29)->110(531)->0(606)
5: 0(0)->87(14)->101(34)->111(392)->59(417)->0(539)
6: 0(0)->97(16)->52(495)->0(533)
7: 0(0)->155(18)->67(44)->91(82)->61(535)->0(616)
8: 0(0)->175(19)->56(274)->70(320)->190(497)->0(587)
9: 0(0)->196(22)->60(41)->138(205)->83(346)->10(492)->198(518)->0(583)
10: 0(0)->73(24)->35(48)->121(136)->192(286)->200(409)->128(453)->0(532)
11: 0(0)->39(27)->174(349)->74(460)->77(503)->0(586)
12: 0(0)->46(29)->164(48)->141(403)->43(427)->0(502)
13: 0(0)->157(31)->41(57)->182(97)->28(332)->27(502)->0(595)
14: 0(0)->4(32)->188(54)->15(71)->151(99)->129(238)->191(392)->0(507)
15: 0(0)->37(34)->29(374)->96(401)->82(429)->0(502)
16: 0(0)->134(34)->103(316)->148(367)->0(491)
17: 0(0)->7(34)->150(59)->137(102)->116(163)->11(345)->49(379)->0(520)
18: 0(0)->69(35)->31(284)->169(312)->53(345)->42(368)->0(502)
19: 0(0)->145(36)->99(73)->88(236)->183(369)->40(410)->0(494)
20: 0(0)->55(37)->80(65)->64(222)->180(242)->172(364)->0(448)
21: 0(0)->124(37)->181(292)->78(358)->0(500)
22: 0(0)->14(37)->79(193)->156(349)->0(425)
23: 0(0)->18(38)->68(97)->25(174)->126(351)->0(431)
24: 0(0)->1(38)->165(51)->185(275)->17(352)->102(450)->0(547)
25: 0(0)->32(40)->90(318)->22(377)->47(397)->0(486)
26: 0(0)->72(41)->147(63)->135(87)->167(167)->179(421)->0(514)
27: 0(0)->112(42)->152(67)->118(160)->159(359)->0(434)
28: 0(0)->63(43)->44(67)->36(85)->5(128)->160(167)->186(385)->0(496)
29: 0(0)->54(43)->125(177)->65(265)->0(471)
30: 0(0)->106(43)->89(56)->114(249)->23(312)->127(374)->0(484)
31: 0(0)->57(44)->84(100)->177(344)->0(454)
32: 0(0)->38(47)->62(268)->194(281)->142(317)->0(401)
33: 0(0)->113(48)->146(221)->122(265)->170(292)->0(424)
34: 0(0)->143(50)->176(145)->130(258)->0(357)
35: 0(0)->184(50)->166(93)->33(176)->144(364)->0(473)
36: 0(0)->120(51)->51(95)->21(116)->0(291)
37: 0(0)->13(53)->104(82)->136(269)->189(308)->0(411)
38: 0(0)->158(56)->50(87)->66(127)->0(274)
39: 0(0)->48(58)->139(186)->187(206)->171(237)->0(334)
40: 0(0)->161(59)->92(107)->8(140)->76(184)->0(319)
41: 0(0)->19(59)->178(254)->58(312)->0(416)
42: 0(0)->34(60)->98(244)->6(292)->0(392)
43: 0(0)->109(60)->0(310)
44: 0(0)->12(60)->95(256)->0(353)
45: 0(0)->173(60)->100(122)->0(318)
46: 0(0)->85(63)->94(103)->0(247)
47: 0(0)->30(63)->20(96)->163(117)->0(306)
48: 0(0)->199(65)->133(133)->195(206)->0(321)
49: 0(0)->123(69)->162(167)->0(304)
50: 0(0)->26(70)->131(157)->0(283)
51: 0(0)->3(70)->86(157)->0(268)
52: 0(0)->193(70)->0(262)
53: 0(0)->93(71)->0(165)
54: 0(0)->168(72)->16(120)->0(249)
55: 0(0)->117(74)->0(158)
56: 0(0)->153(75)->0(190)
57: 0(0)->2(80)->0(213)
58: 0(0)->71(86)->0(207)
59: 0(0)->115(95)->0(215)
9384.035561
